keyword,review,sentiment
식단,"리뷰 잘 안쓰는데 이 어플은 진짜 좋아서 씁니다.  식단을 편하게 작성할 수 있어서 꾸준히 작성할 수 있는 게 정말 큰 장점인 것 같아요 예전엔 작심삼일이었는데 루션 쓰고 한달만에 3kg 빠졌어요ㅎㅎ 걸음 포인트도 쌓이고, 내가 뭘 자주 먹는지 돌아보게 돼요. 단순히 다이어트 앱이 아니라, 습관을 만들어주는 앱 같아요. 매일 기록하고 걷는 게 즐거워졌어요!!",neutral
식단,"처음엔 그냥 식단 기록 앱인 줄 알았는데 써보니 완전 달라요. 식단을 매일 편하게 기록할 수 있다 보니 쓰다보니 3kg 감량했네요 루션 덕분에 하루를 건강하게 마무리하는 습관이 생겼어요. 보상도 있어서 꾸준히 하게 되고, 결과도 눈에 보여요. 다이어트 앱이라기보다 나를 관리해주는 매니저 같아요. 요즘 제 하루는 루션으로 시작해서 루션으로 끝나요! 감사해요 ~",positive
식단,"매번 다이어트 앱 깔았다가 금방 지웠는데, 루션은 다르네요. 식단 기록이 귀찮지 않고, 미션이 있어서 꾸준히 하게 돼요.",negative
식단,다이어트 식단 기록용으로 사용하고 있는데 쓰기 편하고 좋네요. 사진 찍으면 꽤 정확하게 인식되는 게 신기해요. 구웃,neutral
식단,"없는 음식들이 몇가지 꽤 많지만 나름 칼로리 얼마나 섭취하고 있는지는 대충 알수 있고, 컬리도 자주 이용하는데 추천식단에서 바로 컬리로 이동해서 구매할수 있는게 편한거 같음. 근데 걸음수는 삼성헬스 앱이랑 연동이 안되는거 같은데 어떤걸로 연동해서 걸음수를 채워야 하나요? 답변 감사합니다.",positive
식단,"아직 나온지 얼마 되지 않아 식품정보가 떨어진다는건 알지만... 그래도 더 많이 넣어주셨으면 합니다ㅠㅠㅠ 그리고 다들 식단관리 목적, 다이어트 목적으로 많이 이용하실텐데 목표 칼로리를 조정할 수 있는 기능은 없더군요... 제시해주는 칼로리보다 낮게 책정하고 싶은데... 따로 조정 기능이 생기면 좋을 것 같습니다! 그리고 요즘 당함량에 다들 민감한만큼 당함량도 체크할 수 있는 기능이 있다면 좋을 것 같아요! 이런것들 외엔 깔끔하고 직관적이라 좋은 앱인 것 같네요ㅎ",positive
식단,"루션 포인트(3,000점) 지급은 왜 안주나요? 어제 가입하고, 식단 등록 다 했는데도 안주시네요.ㅠ",neutral
식단,쉽고 간편하네요! 그리고 식단기록하고 받은 포인트로 컬리에서 교환할 수 있어서 좋아요!,positive
기록,"광고도 없고 식단 기록등을 너무 편하게 할 수 있어서 좋은 것 같아요, 다이어트 하면 늘 골칫거리가 식단 인데 매주 새로운 식단을 추천해주니까 진짜 편합니다 UI 도 깔끔하고 직관적인게 장점 그리고 가능하면 식단을 공유할 수 있는 기능도 있으면 좋을 것 같습니다",positive
기록,"제가 원했던 어플이 바로 이런거였는데!!! 식단 기록에다가 맞춤 추천 식단까지,,, 귀차니즘 미쳐버리 저같은 다이어터에게 너무나 편한 앱 인것 같아요🥹앞으로도 잘 쓰겠습니다!!",neutral
