작성자,댓글,좋아요수,작성일
@bryandaniel2350,쿠폰 엄청 뿌리네요. 많이 힘든가 봅니다.,0,2025-04-23T01:48:48Z
@윤초심-s6y,컬리ㅡㅡ중국자본,2,2025-04-22T20:23:38Z
@abeufhke,컬리 중국자본 애국자라면 삭제,1,2025-04-22T06:51:39Z
@영림하-j6h,"컬리가 훨씬 경쟁력 있었는데 인력관리부터 개판 오분전이 되다보니 더 힘들어진거임.지금 뷰티컬리 접고 신선식품 하나만 제대로 잡고 차별화하고 인력관리,배송시스템,부자재 관리 똑바로 하면 쿠팡과는 다른 인지도를 갖게 되지 않을까 하네요.솔까 쿠팡은 뭐 밑빠진 독에 물붓기 개념이니 알아서 하라고 하시고요.",0,2025-04-22T05:02:57Z
@ykl4175,"김선아가 뭐라고? 자기가 직접 산지 돌아다니면 뭐 아나? 이마트 롯데마트 홈플러스애는 특정 카테고리만 수 십년 담당한 md들 넘쳐나는 데? 그냥 이미지만 있고 실체는 없는 기업임... 그 이미지로 올리브영 같은 거라도 했어야 하는데... 쿠팡처럼 규모의 경제도 안되고... 올리브영처럼 키테고리 킬러도 아니고 다이소처롬 대체 불가능한 틈새시장에 자리를 잡은 것도 아니고... 손정의 같은 호구(?)도 못 잡고... 욕심은 많아서 한참 물 들어 올 때매각도 안하고 경영권 유지랑 IPO만 노리다 이도 저도 아니게 됐음... 대한항공이 2,000억에 팔라는 거 5,000억 부르며 배짱 부리다 조용히 사라진 한성항공 꼴 나기 생겼음... 이젠 네이버나 롯데에 팔려도 겨우 수 천억... 지분이 한 5% 6%니 그거 라도 건지고 시마이 하는게 나을 듯...",1,2025-04-22T01:05:43Z
@Hhhh65556,계집은 경영하면 안돼,1,2025-04-22T00:37:24Z
@sophiakim6801,컬리도중국자본이개입됐다고들었습니다,1,2025-04-21T13:01:29Z
@짤랑잉,"컬리 거의 모든제품이 최근제조라 좋은데..
주2회 시키고 새벽에 기다렸다가 넣을정도로 배송도 빠르고
쿠팡은 생필품만사고 신선은 컬리만사봐서 상태도좋고
신상과자 입점도 제일빠름",0,2025-04-20T15:31:31Z
@dreani10,판관비는 사람 줄였나보네,0,2025-04-20T04:28:27Z
@lmnophjh,"컬리에게
넘나 감사하는1인입니다
제발 부흥 하시길 기원합니다",1,2025-04-19T23:17:29Z
@미쁘다-o2u,컬리와 쿠팡을 비교할순없음~쿠팡은 질떨어져서 못쓰겠음,0,2025-04-19T17:15:44Z
@grace-ex8bh,비싸...,0,2025-04-19T06:47:21Z
@감사함hsm,가격이 비싸도 신선 제품 퀄리티에 컬리 사용했는데 요즘은 쿠팡이 더 나음ㅜㅜ 거기다 반품ㆍ교환은 어찌나 까다로운지.,1,2025-04-18T14:39:32Z
@구뜨-g4c,컬리는 중국! 쿠팡은 미국! 아닌가~쿠팡  이 좋다!,3,2025-04-17T23:14:40Z
@Mcssg2,새벽배송이 혁신?  우유 새벽 배송이 혁신이니?  신문 새벽 배송도 혁신이겠네?,1,2025-04-17T16:30:47Z
@기지마-g6o,잘 해먹고 갑니다.,0,2025-04-17T08:28:23Z
@bhyen9,빨리망해라,0,2025-04-17T06:54:48Z
@real_life3429,"컬리 제품이 예전의 차별화, 믿을만한 상품의 질이 다 사라져버림. 차라리 쿠팡 로켓프레쉬가 더 저렴하고 질이 좋음.",0,2025-04-17T04:14:29Z
@Da1004-i9d,컬리는 근데 cs가 개구림 진짜,0,2025-04-17T04:04:07Z
@eastpure,댓글보면 정병걸리겠다.. 컬리 담당자는 일단 음식들 먹어보고 팔기를! 못먹겠는 맛대가리없는 걸 싸지도 않게 팔던데 먹어보고 진심 욕나옴;;,0,2025-04-16T22:56:30Z
@윤석열트럼프,"컬리 중국자본 들어갔읍니다,쓰지마시길",1,2025-04-16T18:27:37Z
@timothykim7007,바지사장? ㅜㅜ???,1,2025-04-16T15:33:04Z
@LongRun100,"배민  비마트랑 비교해보면 야채신선도가 떨어짐..첨엔 안그랬는데..이제 왠만하면 컬리에서는 공산품, 냉동, 실온만 사게 되네요",0,2025-04-16T13:35:47Z
@졸리졸리-p6x,특이한 소스 파스타면  일부러 찾아가야 할만한 제품 사려고 이용했는데 이젠 쿠폰이나 줘야 들어간다,0,2025-04-15T07:54:45Z
@tolltoll8181,콜라 고객이였는데 과일 야채  값이 너무 너무 비쌈,0,2025-04-15T07:42:25Z
@tolltoll8181,MD 구려지고 패키지문제로   손실 심각할듯 .,0,2025-04-15T07:41:33Z
@메이포,새벽배송 했어야했니? 노동자들  죽어나가는,0,2025-04-14T12:22:03Z
