작성자,댓글,좋아요수,작성일
@iguref4108,ㅋㅋㅋㅋㅋ영상 너므 좋아..현실감 짱❤,0,2025-06-20T03:12:09Z
@sunghwajeung535,런치백 넘 맘에 들어요 ㅋㅋ,0,2025-06-19T21:18:37Z
@좋은데이-p6g,단무지 넣으면 더 맛있는데 ㅠ 구하기 힘들겠죠?  ㅋㅋㅋ,0,2025-06-18T06:34:25Z
@vivianyoon9711,참~재밌어요 보면서 항상 웃으면서 보고있어요.,0,2025-06-14T16:35:23Z
@에밀리-g5j,다리 떠는 거 매력있어,0,2025-06-14T16:16:25Z
@뀨뀨-k7h,ㄹㅇ,0,2025-06-12T13:34:54Z
@jslee3675,오늘 오전에 와이프 주먹밥 싸줄때 비닐장갑 넣어줬는데 앞으론 랩핑해주면 좋겠군요,0,2025-06-10T22:23:38Z
@shirohell8070,채널 이름 기억 안나서 대충 도시락이라고 검색하니까 나왔어요 ㅋㅋ똑같이 만들어서 출근합니당❤,0,2025-06-10T03:21:24Z
@버네너nana,와 스팸소분 어메이징...,0,2025-06-08T18:04:17Z
@aggiem2248,>< ><,0,2025-06-05T13:52:26Z
@alicelee8488,ㅎㅎㅎ.. 내가 출근하는 이유 ... 점심도시락먹기와 퇴근의 행복감을 만끽하기 위함이라는... 한국은 구내식당도  잘되어있고 회사근처 맛집도 많아서 도시락 안싸도 되겠네요..,0,2025-05-31T00:06:09Z
@Selena0101,스크램블 잘하시네요. 그거 하는 방법이 프라이처럼 했다가 뒤집게로 찔러주면 되나요??,1,2025-05-30T15:38:58Z
@블랙커피-g7w,"말투가 넘 중독적이라 계속 보게됨,,,❤",0,2025-05-29T21:39:08Z
@gkszja8041,개웃겨요,0,2025-05-29T04:43:33Z
@송지순-m4l,늘 화끈해,0,2025-05-28T03:51:39Z
@tk8398,빠르시네여 근데 몸에 안조은것들임,0,2025-05-24T15:12:14Z
@배르냥,"별거 없는 처자 너무 좋아하는 팬이에요~ ㅋ
이영상 울아들 아침으로 저장 저장!!",0,2025-05-24T10:47:19Z
@tensi-m9k,이 언니 릴스 뜰때마다 말투 너무 킹받는데 중독성있어서 그냥 넘기질 못하고 다 보고 넘김...,0,2025-05-23T23:29:25Z
